"exercise","weight_delta"
0,-1.76806330415015
0,3.34776496244881
0,-1.46295221245462
0,-2.01478710657823
0,4.05838907519217
0,-2.1320526724891
0,-1.27521346295544
0,-0.538221945359089
0,0.0541015152003233
0,-1.51438101568811
0,0.054903712689542
0,4.50060197593306
0,1.36549951368626
0,1.03628718588401
0,-2.05131683823155
0,-1.25652008804643
0,-0.742277681989548
0,-0.213631679670252
0,-0.642503165897758
0,-1.07748611122659
0,0
0,-1.30728293603717
0,5.07732607867781
0,2.8361354267982
0,4.69861529904272
0,-1.95114554386449
0,-2.68656749159008
0,-1.12474034266315
0,-0.72396859268987
0,-1.24997559987002
0,0
0,-3.37553821985998
0,-1.96502687787084
0,-0.556802168287817
0,-0.783838363888623
0,-0.677187141531243
0,-0.454577908941617
0,-0.684917716756388
0,-1.26436330140856
0,-0.582081737827092
0,-1.63939716238822
0,6.56137841484415e-05
0,-2.02385584398627
0,1.09360538860158
0,0.600971411461392
0,-1.3142125655526
0,-1.63438248580407
0,-1.04614374403056
0,-0.435371556821792
0,-1.18679182017663
0,-1.64343358189923
0,-0.899842729423771
0,-0.518701416420881
0,1.69485679300844
0,-1.66661013787372
0,1.30380232563153
0,-1.93053315231037
0,0.656178800043389
0,-2.08605497757293
0,1.19830440806934
0,2.5000725205233
0,-0.898546335982742
0,0.51802891994967
0,3.09286551369012
0,-1.37499517738939
0,0.887157728261487
0,-0.125602566889937
0,4.52834950056294
0,-0.722139464178896
0,0.422552900950935
0,3.80373860997259
0,4.41886338758592
300,-2.78400742401979
90,-1.04170786505385
91.04,-2.10453333333332
134.23,-0.494314116463464
88,2.45753523671847
0,-0.317460317460316
0,-0.00406935598018843
60,-0.229885057471262
0,-3.71733333333333
0,-0.670064070606915
0,-2.06469529332982
105,-0.343680361570567
0,-0.312504736486026
0,1.31123919308356
0,-11.2617050124996
0,-1.11622996806812
0,-1.39628949331087
0,-0.909359693887503
0,0.087567043517682
0,-1.2773872919376
0,-1.22293556113932
0,-0.412678959741864
0,-0.666688911477961
0,-1.05206330735017
0,-0.815760024151799
0,-0.681977581573851
0,-1.47070050754574
0,-0.785155678157489
0,0.114218012661329
0,-0.45641369714817
0,-1.14609750530395
0,-1.56518438451641
0,-0.0588807337305506
0,-0.923268127968176
0,-0.495635340715475
45,0
0,-0.435915359413538
80.05,-1.81879306884962
0,0.272313601353122
170,-0.374227222823863
110,-1.92305821443514
0,-0.23148510881799
0,0.201272764200112
0,-0.950020708438017
0,0.0824913666011163
0,0.783158369198344
0,-1.55410023497907
0,0.913950696946164
0,-0.535203584754652
0,0.641596105049101
0,-0.431845668469971
0,-0.123929374891419
0,0.620362023483466
30,-2.3255901809434
305,-3.88466137263265
0,4.95435548682689
0,2.94122224124248
0,-1.00401606425685
0,-1.09291329096768
0,-1.65748480821628
45,-0.456051770729621
0,-1.87935735936967
20.01,-1.15589597227481
110.03,-1.70403151434439
60,-0.545044593646657
60,-1.41683149262288
200,-1.47786563043171
110,-0.857142357229133
0,0
0,0.315724617585661
30,0.207512649724145
100,-1.1177343033909
30,-1.80072670235323
0,-0.852879842950235
30,-0.931906099012524
0,5.28215382725621
0,-1.08229661467686
10,-1.50435080354279
